club_name,club_name_roi,seasonal_advertising_equivalent_low_eur,seasonal_advertising_equivalent_base_eur,seasonal_advertising_equivalent_high_eur,tv_matches_available,tv_match_coverage_pct,tv_audience_sum,tv_aev_base_eur,predicted_sponsorship_eur_m,predicted_sponsorship_eur,total_media_value_base_eur,social_roi_proxy_pct,total_roi_absolute_proxy_eur,total_roi_proxy_pct,social_media_value_eur_m,tv_media_value_eur_m,total_media_value_eur_m,total_roi_absolute_proxy_eur_m,league_final,absolute_roi_eur_m,social_roi_pct,total_roi_pct,media_cost_coverage_pct,tv_methodology,tv_audience_fully_observed,pre_tv_ready,live_uk_tv_matches,tv_audience_proxy_avg_per_match,tv_audience_proxy_sum,tv_cpm_low_eur,tv_aev_low_eur,tv_cpm_base_eur,tv_cpm_high_eur,tv_aev_high_eur,total_media_value_low_eur,total_media_value_high_eur,total_roi_absolute_proxy_low_eur,total_roi_absolute_proxy_base_eur,total_roi_absolute_proxy_high_eur,total_roi_proxy_low_pct,total_roi_proxy_base_pct,total_roi_proxy_high_pct,total_media_cost_coverage_low_pct,total_media_cost_coverage_base_pct,total_media_cost_coverage_high_pct,absolute_roi_proxy_eur_m,tv_matches,tv_audience_source,tv_audience_metric,tv_audience_is_proxy,tv_broadcasters,stadium_capacity,total_attendance,average_attendance,attendance_utilization,tv_attendance_weight,tv_audience_proxy_avg_low_per_match,tv_audience_proxy_sum_low,tv_audience_proxy_avg_base_per_match,tv_audience_proxy_sum_base,tv_audience_proxy_avg_high_per_match,tv_audience_proxy_sum_high,tv_audience_is_observed,tv_proxy_method,tv_proxy_baseline_avg_viewers,tv_proxy_attendance_benchmark,tv_proxy_anchor_season,tv_target_season
Ipswich,Ipswich,214887.568,324877.35199999996,534672.92,,,,149280.0,78.65352630615234,78653526.30615234,474157.352,-99.58695132023014,,,0.3248773519999999,0.14928,0.474157352,,Premier League,-78.17936895415235,-99.58695132023014,-99.39715690539497,0.6028430946050425,UK live-TV schedule + BARB linear audience proxy,False,True,10.0,933000.0,9330000.0,14.0,130620.0,16.0,18.0,167940.0,345507.56799999997,702612.92,-78308018.73815234,-78179368.95415235,-77950913.38615234,-99.56072208809158,-99.39715690539497,-99.10669876736978,0.4392779119084126,0.6028430946050425,0.8933012326302286,-78.17936895415235,,,,,,,,,,,,,,,,,,,,,,
Leicester,Leicester,3143144.92,4728150.38,7844429.299999999,,,,208992.0,85.69223022460938,85692230.22460938,4937142.38,-94.48240480192082,,,4.72815038,0.208992,4.93714238,,Premier League,-80.75508784460938,-94.48240480192082,-94.23851804643294,5.761481953567052,UK live-TV schedule + BARB linear audience proxy,False,True,14.0,933000.0,13062000.0,14.0,182868.0,16.0,18.0,235116.0,3326012.92,8079545.299999999,-82366217.30460937,-80755087.84460938,-77612684.92460938,-96.11865286819804,-94.23851804643294,-90.57143771515508,3.88134713180195,5.761481953567052,9.42856228484492,-80.75508784460938,,,,,,,,,,,,,,,,,,,,,,
Liverpool,Liverpool,25940806.08,39199209.120000005,64564015.2,,,,447840.0,137.7,137700000.0,39647049.120000005,-71.53289098039215,,,39.199209120000006,0.44784,39.647049120000005,,Premier League,-98.05295088,-71.53289098039215,-71.20766222222223,28.79233777777778,UK live-TV schedule + BARB linear audience proxy,False,True,30.0,933000.0,27990000.0,14.0,391860.0,16.0,18.0,503820.0,26332666.08,65067835.2,-111367333.92,-98052950.88,-72632164.8,-80.876785708061,-71.20766222222223,-52.746670152505445,19.123214291938996,28.79233777777778,47.253329847494555,-98.05295088,,,,,,,,,,,,,,,,,,,,,,
Manchester City,Manchester City,26246960.832,39586681.248,65401162.08,,,,373200.0,114.51,114510000.0,39959881.248,-65.42949851716008,,,39.586681248000005,0.3732,39.959881248,,Premier League,-74.550118752,-65.42949851716008,-65.10358811632172,34.89641188367828,UK live-TV schedule + BARB linear audience proxy,False,True,25.0,933000.0,23325000.0,14.0,326550.0,16.0,18.0,419850.0,26573510.832,65821012.08,-87936489.168,-74550118.752,-48688987.92,-76.79372034582133,-65.10358811632172,-42.519420068116325,23.206279654178672,34.89641188367828,57.48057993188368,-74.550118752,,,,,,,,,,,,,,,,,,,,,,
Manchester United,Manchester United,41559513.492,62620170.238,103617883.73,,,,417984.0,163.96,163960000.0,63038154.238,-61.80765416077092,,,62.620170238,0.417984,63.038154238,,Premier League,-100.921845762,-61.80765416077092,-61.55272368992437,38.44727631007563,UK live-TV schedule + BARB linear audience proxy,False,True,28.0,933000.0,26124000.0,14.0,365736.0,16.0,18.0,470232.0,41925249.492,104088115.73,-122034750.508,-100921845.762,-59871884.27,-74.42958679434008,-61.55272368992437,-36.51615288484996,25.57041320565991,38.44727631007563,63.48384711515004,-100.921845762,,,,,,,,,,,,,,,,,,,,,,
Newcastle United,Newcastle United,1815902.2,2741200.3000000003,4522408.5,,,,373200.0,65.42,65420000.0,3114400.3000000003,-95.80984362580251,,,2.7412003000000005,0.3732,3.1144003,,Premier League,-62.3055997,-95.80984362580251,-95.2393758789361,4.760624121063895,UK live-TV schedule + BARB linear audience proxy,False,True,25.0,933000.0,23325000.0,14.0,326550.0,16.0,18.0,419850.0,2142452.2,4942258.5,-63277547.8,-62305599.7,-60477741.5,-96.72508070926322,-95.2393758789361,-92.44534011005808,3.2749192907367783,4.760624121063895,7.554659889941914,-62.3055997,,,,,,,,,,,,,,,,,,,,,,
Nottingham Forest,Nottingham Forest,550251.4,830792.0999999999,1370213.5,,,,328416.0,97.85,97850000.0,1159208.1,-99.15095339805826,,,0.8307920999999998,0.328416,1.1592081,,Premier League,-96.6907919,-99.15095339805826,-98.81532130812468,1.1846786918753194,UK live-TV schedule + BARB linear audience proxy,False,True,22.0,933000.0,20526000.0,14.0,287364.0,16.0,18.0,369468.0,837615.4,1739681.5,-97012384.6,-96690791.9,-96110318.5,-99.1439801737353,-98.81532130812468,-98.22209351047522,0.856019826264691,1.1846786918753194,1.7779064895247827,-96.6907919,,,,,,,,,,,,,,,,,,,,,,
Southampton,Southampton,1002188.592,1509780.888,2498973.4799999995,,,,164208.0,86.74929809570312,86749298.09570312,1673988.888,-98.25960449116904,,,1.509780888,0.164208,1.673988888,,Premier League,-85.07530920770313,-98.25960449116904,-98.07031419879245,1.929685801207556,UK live-TV schedule + BARB linear audience proxy,False,True,11.0,933000.0,10263000.0,14.0,143682.0,16.0,18.0,184734.0,1145870.592,2683707.4799999995,-85603427.50370313,-85075309.20770313,-84065590.61570312,-98.67910102196348,-98.07031419879245,-96.90636404107929,1.3208989780365237,1.929685801207556,3.0936359589207205,-85.07530920770313,,,,,,,,,,,,,,,,,,,,,,
Tottenham Hotspur,Tottenham Hotspur,14156508.396000002,21364612.594,35261420.989999995,,,,358272.0,145.22,145220000.0,21722884.594,-85.28810591240877,,,21.364612594,0.358272,21.722884594,,Premier League,-123.497115406,-85.28810591240877,-85.04139609282468,14.958603907175322,UK live-TV schedule + BARB linear audience proxy,False,True,24.0,933000.0,22392000.0,14.0,313488.0,16.0,18.0,403056.0,14469996.396000002,35664476.989999995,-130750003.604,-123497115.406,-109555523.01,-90.03581022173255,-85.04139609282468,-75.4410707960336,9.964189778267457,14.958603907175322,24.558929203966393,-123.497115406,,,,,,,,,,,,,,,,,,,,,,
West Ham United,West Ham United,1839062.136,2773014.2040000004,4583234.34,,,,268704.0,69.08,69080000.0,3041718.2040000004,-95.98579298784018,,,2.7730142040000003,0.268704,3.0417182040000004,,Premier League,-66.03828179599999,-95.98579298784018,-95.5968178865084,4.403182113491604,UK live-TV schedule + BARB linear audience proxy,False,True,18.0,933000.0,16794000.0,14.0,235116.0,16.0,18.0,302292.0,2074178.136,4885526.34,-67005821.864,-66038281.796,-64194473.66,-96.99742597568036,-95.5968178865084,-92.92772678054428,3.002574024319629,4.403182113491604,7.072273219455703,-66.03828179599999,,,,,,,,,,,,,,,,,,,,,,
Wolves,Wolves,1291399.6,1952394.4,3213204.0,,,,223920.0,81.52,81520000.0,2176314.4,-97.60501177625122,,,1.9523944,0.22392,2.1763144,,Premier League,-79.3436856,-97.60501177625122,-97.33033071638862,2.6696692836113836,UK live-TV schedule + BARB linear audience proxy,False,True,15.0,933000.0,13995000.0,14.0,195930.0,16.0,18.0,251910.0,1487329.6,3465114.0,-80032670.4,-79343685.6,-78054886.0,-98.17550343473997,-97.33033071638862,-95.74936947988223,1.824496565260059,2.6696692836113836,4.250630520117762,-79.3436856,,,,,,,,,,,,,,,,,,,,,,
Alaves,Alaves,492275.56000000006,747514.34,1221587.9,,,,439584.0,22.18,22180000.0,1187098.34,-96.62978205590622,,,0.7475143399999999,0.439584,1.18709834,,La Liga,-20.99290166,-96.62978205590622,-94.64788845807034,5.352111541929665,Club-level TV audience proxy calibrated to league average,False,True,,723000.0,27474000.0,14.0,384636.0,16.0,18.0,494532.0,876911.56,1716119.9,-21303088.44,-20992901.66,-20463880.1,-96.04638611361588,-94.64788845807034,-92.2627596934175,3.9536138863841304,5.352111541929665,7.737240306582506,-20.99290166,38.0,Barlovento Comunicación / Kantar 2024/25,average unique viewers per match,True,,,,,,,,,,,,,,,,,,
Athletic Club,Athletic Club,1548358.448,2341933.6720000003,3851500.12,,,,417088.0,67.25,67250000.0,2759021.6720000003,-96.5175707479554,,,2.341933672,0.417088,2.7590216720000003,,La Liga,-64.490978328,-96.5175707479554,-95.89736554349444,4.102634456505577,Club-level TV audience proxy calibrated to league average,False,True,,686000.0,26068000.0,14.0,364952.0,16.0,18.0,469224.0,1913310.448,4320724.12,-65336689.552,-64490978.328,-62929275.88,-97.15492870185874,-95.89736554349444,-93.57513142007436,2.845071298141264,4.102634456505577,6.424868579925651,-64.490978328,38.0,Barlovento Comunicación / Kantar 2024/25,average unique viewers per match,True,,,,,,,,,,,,,,,,,,
Atletico Madrid,Atletico Madrid,10033598.784,15249838.176,24884556.96,,,,570304.0,58.67,58670000.0,15820142.176,-74.00743450485768,,,15.249838176,0.570304,15.820142176,,La Liga,-42.849857824,-74.00743450485768,-73.03538064428157,26.964619355718423,Club-level TV audience proxy calibrated to league average,False,True,,938000.0,35644000.0,14.0,499016.0,16.0,18.0,641592.0,10532614.784,25526148.96,-48137385.216,-42849857.824,-33143851.04,-82.04769936253622,-73.03538064428157,-56.49199086415544,17.95230063746378,26.964619355718423,43.50800913584455,-42.849857824,38.0,Barlovento Comunicación / Kantar 2024/25,average unique viewers per match,True,,,,,,,,,,,,,,,,,,
Barcelona,Barcelona,69463099.68,104847249.52,173005149.20000002,,,,954560.0,173.54,173540000.0,105801809.52,-39.58323757058891,,,104.84724952,0.95456,105.80180952,,La Liga,-67.73819048,-39.58323757058891,-39.033185709346554,60.966814290653446,Club-level TV audience proxy calibrated to league average,False,True,,1570000.0,59660000.0,14.0,835240.0,16.0,18.0,1073880.0,70298339.68,174079029.20000002,-103241660.32,-67738190.48,539029.2000000179,-59.49156408897084,-39.033185709346554,0.3106080442549371,40.50843591102916,60.966814290653446,100.31060804425492,-67.73819048,38.0,Barlovento Comunicación / Kantar 2024/25,average unique viewers per match,True,,,,,,,,,,,,,,,,,,
Celta Vigo,Celta Vigo,815493.9839999999,1233443.9759999998,2028531.96,,,,518016.0,52.99,52990000.0,1751459.9759999998,-97.67230802792982,,,1.2334439759999998,0.518016,1.7514599759999998,,La Liga,-51.238540024,-97.67230802792982,-96.6947349009247,3.3052650990752968,Club-level TV audience proxy calibrated to league average,False,True,,852000.0,32376000.0,14.0,453264.0,16.0,18.0,582768.0,1268757.984,2611299.96,-51721242.016,-51238540.024,-50378700.04,-97.60566525004718,-96.6947349009247,-95.07208914889604,2.394334749952821,3.3052650990752968,4.927910851103982,-51.238540024,38.0,Barlovento Comunicación / Kantar 2024/25,average unique viewers per match,True,,,,,,,,,,,,,,,,,,
